study_number;prompt_number;run1;run2;run3
129;7a;1;1;1
129;7b;1;0;0
129;7c;1;1;1
129;8;1;1;1
129;9;1;1;1
129;10;0;0;0
129;11;0;0;0
129;12;1;1;1
172;1;0;0;0
172;2;1;1;1
172;3;0;0;0
172;4;1;1;1
172;5;1;1;1
172;6;1;1;1
172;7a;1;1;1
172;7b;1;0;0
172;7c;1;1;1
172;8;1;1;1
172;9;1;1;1
172;10;1;1;1
172;11;0;0;0
172;12;1;1;1
191;1;1;1;1
191;2;0;0;0
191;3;0;0;0
191;4;1;1;1
191;5;1;0;1
191;6;1;1;1
191;7a;1;1;1
191;7b;1;1;0
191;7c;1;1;1
191;8;1;1;1
191;9;1;1;1
191;10;1;1;1
191;11;0;0;1
191;12;1;1;1
226;1;1;1;1
226;2;0;0;0
226;3;0;0;0
226;4;1;1;1
226;5;1;1;1
226;6;1;1;1
226;7a;1;1;1
226;7b;0;0;1
226;7c;1;1;1
226;8;1;1;1
226;9;1;1;1
226;10;0;0;1
226;11;0;0;0
226;12;1;1;1
280;1;1;1;1
280;2;0;0;0
280;3;0;0;0
280;4;1;1;1
280;5;1;1;0
280;6;1;1;1
280;7a;1;1;1
280;7b;0;0;0
280;7c;1;1;1
280;8;1;1;1
280;9;1;1;1
280;10;0;1;0
280;11;0;0;0
280;12;1;1;1
400;1;1;1;1
400;2;1;1;1
400;3;1;1;1
400;4;1;1;1
400;5;1;1;1
400;6;1;1;1
400;7a;1;1;1
400;7b;0;0;1
400;7c;1;1;1
400;8;1;1;1
400;9;1;1;1
400;10;0;1;1
400;11;0;1;1
400;12;1;1;1
535;1;1;1;1
535;2;0;0;0
535;3;0;0;0
535;4;1;0;1
535;5;1;1;1
535;6;1;1;1
535;7a;1;1;1
535;7b;0;1;1
535;7c;1;1;1
535;8;1;1;1
535;9;1;1;1
535;10;1;1;1
535;11;0;0;0
535;12;1;1;1
646;1;0;0;0
646;2;1;1;1
646;3;0;0;0
646;4;1;1;1
646;5;1;1;1
646;6;1;1;1
646;7a;1;1;1
646;7b;0;0;0
646;7c;1;1;1
646;8;1;1;1
646;9;1;1;1
646;10;0;0;0
646;11;1;0;1
646;12;1;1;1
714;1;1;1;1
714;2;0;0;0
714;3;0;0;0
714;4;1;1;1
714;5;1;1;1
714;6;1;1;1
714;7a;1;1;1
714;7b;1;0;0
714;7c;1;1;1
714;8;1;1;1
714;9;1;1;1
714;10;0;1;1
714;11;0;0;0
714;12;1;1;1
760;1;1;1;1
760;2;0;0;0
760;3;0;0;0
760;4;1;1;1
760;5;1;1;1
760;6;1;1;1
760;7a;1;1;1
760;7b;0;0;1
760;7c;1;1;1
760;8;1;1;1
760;9;1;1;1
760;10;1;0;1
760;11;0;0;0
760;12;1;1;1
837;1;1;1;1
837;2;0;0;0
837;3;0;0;0
837;4;1;1;1
837;5;1;1;1
837;6;1;1;1
837;7a;1;1;1
837;7b;0;1;0
837;7c;1;1;1
837;8;1;1;1
837;9;1;1;1
837;10;1;1;1
837;11;0;0;0
837;12;1;1;1
887;1;1;1;1
887;2;0;0;0
887;3;0;0;0
887;4;1;1;1
887;5;1;1;1
887;6;1;1;1
887;7a;1;1;1
887;7b;1;1;0
887;7c;1;1;1
887;8;1;1;1
887;9;1;1;1
887;10;0;1;0
887;11;1;1;0
887;12;1;1;1
891;1;1;1;1
891;2;0;0;0
891;3;0;0;0
891;4;1;1;1
891;5;1;1;1
891;6;1;1;1
891;7a;1;1;1
891;7b;0;0;1
891;7c;1;1;1
891;8;1;1;1
891;9;1;1;1
891;10;1;0;1
891;11;1;1;1
891;12;1;1;1
935;1;1;1;1
935;2;0;0;0
935;3;0;0;0
935;4;1;1;1
935;5;1;1;1
935;6;1;1;1
935;7a;1;1;1
935;7b;0;1;0
935;7c;1;1;1
935;8;1;1;1
935;9;1;1;1
935;10;1;1;1
935;11;0;0;0
935;12;1;1;1
